date,colore_num,colore_num_round
2020-11-06,2.80926179079585,3.0
2020-11-07,2.80926179079585,3.0
2020-11-08,2.80926179079585,3.0
2020-11-09,2.80926179079585,3.0
2020-11-10,2.904630895397925,3.0
2020-11-11,2.904630895397925,3.0
2020-11-12,2.904630895397925,3.0
2020-11-13,2.904630895397925,3.0
2020-11-14,2.904630895397925,3.0
2020-11-15,2.904630895397925,3.0
2020-11-16,2.904630895397925,3.0
2020-11-17,2.904630895397925,3.0
2020-11-18,2.904630895397925,3.0
2020-11-19,2.904630895397925,3.0
2020-11-20,2.904630895397925,3.0
2020-11-21,2.904630895397925,3.0
2020-11-22,2.904630895397925,3.0
2020-11-23,2.904630895397925,3.0
2020-11-24,2.904630895397925,3.0
2020-11-25,2.904630895397925,3.0
2020-11-26,2.904630895397925,3.0
2020-11-27,2.904630895397925,3.0
2020-11-28,2.904630895397925,3.0
2020-11-29,1.9124510536486472,2.0
2020-11-30,1.9124510536486472,2.0
2020-12-01,1.9124510536486472,2.0
2020-12-02,1.9124510536486472,2.0
2020-12-03,1.9124510536486472,2.0
2020-12-04,1.9124510536486472,2.0
2020-12-05,1.9124510536486472,2.0
2020-12-06,1.904630895397925,2.0
2020-12-07,1.904630895397925,2.0
2020-12-08,1.904630895397925,2.0
2020-12-09,1.904630895397925,2.0
2020-12-10,1.904630895397925,2.0
2020-12-11,1.904630895397925,2.0
2020-12-12,1.904630895397925,2.0
2020-12-13,1.0078201582507222,1.0
2020-12-14,1.0078201582507222,1.0
2020-12-15,1.0078201582507222,1.0
2020-12-16,1.0078201582507222,1.0
2020-12-17,1.0078201582507222,1.0
2020-12-18,1.0078201582507222,1.0
2020-12-19,1.0078201582507222,1.0
2020-12-20,1.0,1.0
2020-12-21,1.0,1.0
2020-12-22,1.0,1.0
2020-12-23,1.0,1.0
2020-12-24,3.0,3.0
2020-12-25,3.0,3.0
2020-12-26,3.0,3.0
2020-12-27,3.0,3.0
2020-12-28,2.0,2.0
2020-12-29,2.0,2.0
2020-12-30,2.0,2.0
2020-12-31,3.0,3.0
2021-01-01,3.0,3.0
2021-01-02,3.0,3.0
2021-01-03,3.0,3.0
2021-01-04,2.0,2.0
2021-01-05,3.0,3.0
2021-01-06,3.0,3.0
2021-01-07,1.0,1.0
2021-01-08,1.0,1.0
2021-01-09,2.0,2.0
2021-01-10,2.0,2.0
2021-01-11,1.6271688861850313,2.0
2021-01-12,1.6271688861850313,2.0
2021-01-13,1.6271688861850313,2.0
2021-01-14,1.6271688861850313,2.0
2021-01-15,1.6271688861850313,2.0
2021-01-16,1.6271688861850313,2.0
2021-01-17,2.6271688861850313,3.0
2021-01-18,2.6271688861850313,3.0
2021-01-19,2.6271688861850313,3.0
2021-01-20,2.6271688861850313,3.0
2021-01-21,2.6271688861850313,3.0
2021-01-22,2.6271688861850313,3.0
2021-01-23,2.6271688861850313,3.0
2021-01-24,2.0,2.0
2021-01-25,2.0,2.0
2021-01-26,2.0,2.0
2021-01-27,2.0,2.0
2021-01-28,2.0,2.0
2021-01-29,2.0,2.0
2021-01-30,2.0,2.0
2021-01-31,2.0,2.0
2021-02-01,1.0,1.0
2021-02-02,1.0,1.0
2021-02-03,1.0,1.0
2021-02-04,1.0,1.0
2021-02-05,1.0,1.0
2021-02-06,1.0,1.0
2021-02-07,1.0,1.0
2021-02-08,1.0,1.0
2021-02-09,1.0,1.0
2021-02-10,1.0,1.0
2021-02-11,1.0,1.0
2021-02-12,1.0,1.0
2021-02-13,1.0,1.0
2021-02-14,1.095369104602075,1.0
2021-02-15,1.095369104602075,1.0
2021-02-16,1.095369104602075,1.0
2021-02-17,1.095369104602075,1.0
2021-02-18,1.095369104602075,1.0
