year_week,work_red
2020-07,
2020-08,1.0165959694115299
2020-09,0.9726418376000613
2020-10,0.8426698842641601
2020-11,0.33577888124077465
2020-12,0.14131101384753988
2020-13,0.08680212243188054
2020-14,0.09359648155249502
2020-15,0.10444031289193896
2020-16,0.10684318683970033
2020-17,0.1410893064670999
2020-18,0.10241964880097089
2020-19,0.27559222360949426
2020-20,0.3158050043801776
2020-21,0.38498171307072976
2020-22,0.4126038375216031
2020-23,0.3729194211305757
2020-24,0.46925180854779536
2020-25,0.49850317993176274
2020-26,0.5028920560274844
2020-27,0.5037792515429477
2020-28,0.5220083146424458
2020-29,0.5288608675735593
2020-30,0.5291023536633923
2020-31,0.5172157612718317
2020-32,0.45063504837460805
2020-33,0.2584048494861371
2020-34,0.2512678155886764
2020-35,0.39802330494887567
2020-36,0.48104443828946974
2020-37,0.5044124188419221
2020-38,0.5539530497021072
2020-39,0.5470103512527552
2020-40,0.6096535864028284
2020-41,0.6319425005960385
2020-42,0.6372042834576712
2020-43,0.6332131803860416
2020-44,0.5577433568089597
2020-45,0.5187696781129695
2020-46,0.5041537840778
2020-47,0.47883756695459745
2020-48,0.5128590509797555
2020-49,0.5346645119343856
2020-50,0.4642880021494689
2020-51,0.5809350005905299
2020-52,0.26230779580262414
2020-53,0.1662186858510188
2021-01,0.39613635058730684
2021-02,0.5431062974267916
2021-03,0.5180900690568893
2021-04,0.5378382660454312
2021-05,0.5679515275685533
2021-06,0.5696035840607323
2021-07,0.5811459256272896
2021-08,0.591213376952662
2021-09,0.5758818719551587
2021-10,0.5553879094966767
2021-11,0.449137356441015
2021-12,0.46254822665950307
2021-13,0.45387416967830774
2021-14,0.4805515709023468
2021-15,0.6161220427093673
2021-16,0.6442477854537303
2021-17,0.6621547515804992
2021-18,0.6913828503220236
2021-19,0.6954207772141094
2021-20,0.7409601211301574
2021-21,0.7569570784462452
2021-22,0.6156031283798639
2021-23,0.6901598204922095
2021-24,0.6218575301560714
2021-25,0.602725776119156
2021-26,0.568689674690271
2021-27,0.6015093075892083
2021-28,0.5867560256388847
