Date,daily_Deaths,daily_Confirmed
2020-02-24,,50
2020-02-25,0.0,19
2020-02-26,2.0,49
2020-02-27,0.0,90
2020-02-28,1.0,88
2020-02-29,2.0,112
2020-03-01,4.0,146
2020-03-02,3.0,63
2020-03-03,8.0,127
2020-03-04,7.0,183
2020-03-05,12.0,206
2020-03-06,9.0,269
2020-03-07,12.0,215
2020-03-08,14.0,321
2020-03-09,16.0,326
2020-03-10,23.0,330
2020-03-11,34.0,445
2020-03-12,40.0,669
2020-03-13,69.0,694
2020-03-14,57.0,858
2020-03-15,58.0,933
2020-03-16,77.0,806
2020-03-17,69.0,705
2020-03-18,81.0,1327
2020-03-19,109.0,1224
2020-03-20,131.0,1589
2020-03-21,112.0,1670
2020-03-22,139.0,1668
2020-03-23,118.0,1534
2020-03-24,151.0,1368
2020-03-25,163.0,1630
2020-03-26,145.0,1462
2020-03-27,151.0,1619
2020-03-28,159.0,1567
2020-03-29,149.0,1402
2020-03-30,153.0,998
2020-03-31,195.0,1176
2020-04-01,168.0,1446
2020-04-02,146.0,1340
2020-04-03,165.0,1218
2020-04-04,132.0,1219
2020-04-05,126.0,1130
2020-04-06,111.0,1025
2020-04-07,135.0,873
2020-04-08,120.0,1109
2020-04-09,121.0,1221
2020-04-10,137.0,1149
2020-04-11,146.0,1054
2020-04-12,132.0,1034
2020-04-13,98.0,691
2020-04-14,130.0,581
2020-04-15,140.0,612
2020-04-16,107.0,1012
2020-04-17,137.0,902
2020-04-18,108.0,808
2020-04-19,107.0,789
2020-04-20,105.0,601
2020-04-21,124.0,559
2020-04-22,99.0,739
2020-04-23,106.0,573
2020-04-24,83.0,689
2020-04-25,106.0,504
2020-04-26,76.0,396
2020-04-27,84.0,496
2020-04-28,119.0,431
2020-04-29,82.0,448
2020-04-30,68.0,467
2020-05-01,61.0,388
2020-05-02,62.0,406
2020-05-03,50.0,340
2020-05-04,42.0,234
2020-05-05,65.0,142
2020-05-06,62.0,210
2020-05-07,53.0,207
2020-05-08,72.0,193
2020-05-09,47.0,198
2020-05-10,37.0,139
2020-05-11,35.0,112
2020-05-12,41.0,110
2020-05-13,50.0,101
2020-05-14,59.0,120
2020-05-15,36.0,115
2020-05-16,41.0,127
2020-05-17,24.0,86
2020-05-18,24.0,65
2020-05-19,30.0,111
2020-05-20,25.0,99
2020-05-21,27.0,77
2020-05-22,27.0,99
2020-05-23,24.0,66
2020-05-24,15.0,77
2020-05-25,23.0,45
2020-05-26,19.0,53
2020-05-27,19.0,35
2020-05-28,16.0,98
2020-05-29,16.0,55
2020-05-30,15.0,38
2020-05-31,9.0,41
2020-06-01,12.0,25
2020-06-02,17.0,29
2020-06-03,11.0,17
2020-06-04,22.0,25
2020-06-05,19.0,25
2020-06-06,15.0,30
2020-06-07,10.0,19
2020-06-08,6.0,27
2020-06-09,12.0,25
2020-06-10,8.0,29
2020-06-11,4.0,35
2020-06-12,6.0,40
2020-06-13,14.0,52
2020-06-14,6.0,28
2020-06-15,5.0,13
2020-06-16,6.0,15
2020-06-17,11.0,21
2020-06-18,11.0,52
2020-06-19,10.0,34
2020-06-20,11.0,32
2020-06-21,1.0,40
2020-06-22,5.0,36
2020-06-23,2.0,21
2020-06-24,-52.0,48
2020-06-25,7.0,54
2020-06-26,4.0,57
2020-06-27,0.0,47
2020-06-28,2.0,37
2020-06-29,2.0,21
2020-06-30,9.0,28
2020-07-01,14.0,27
2020-07-02,1.0,50
2020-07-03,3.0,42
2020-07-04,0.0,68
2020-07-05,1.0,34
2020-07-06,1.0,39
2020-07-07,11.0,50
2020-07-08,0.0,62
2020-07-09,3.0,43
2020-07-10,2.0,73
2020-07-11,0.0,64
2020-07-12,0.0,92
2020-07-13,0.0,31
2020-07-14,4.0,36
2020-07-15,2.0,43
2020-07-16,4.0,80
2020-07-17,2.0,116
2020-07-18,3.0,82
2020-07-19,1.0,103
2020-07-20,3.0,92
2020-07-21,5.0,45
2020-07-22,6.0,115
2020-07-23,5.0,111
2020-07-24,3.0,115
2020-07-25,2.0,93
2020-07-26,1.0,93
2020-07-27,0.0,52
2020-07-28,6.0,46
2020-07-29,5.0,82
2020-07-30,2.0,169
2020-07-31,1.0,173
2020-08-01,3.0,117
2020-08-02,0.0,111
2020-08-03,2.0,64
2020-08-04,1.0,75
2020-08-05,0.0,103
2020-08-06,0.0,139
2020-08-07,2.0,249
2020-08-08,7.0,119
2020-08-09,1.0,143
2020-08-10,2.0,61
2020-08-11,5.0,90
2020-08-12,7.0,114
2020-08-13,2.0,141
2020-08-14,1.0,198
2020-08-15,156.0,215
2020-08-16,0.0,146
2020-08-17,0.0,95
2020-08-18,3.0,93
2020-08-19,2.0,155
2020-08-20,1.0,250
2020-08-21,2.0,243
2020-08-22,2.0,301
2020-08-23,1.0,312
2020-08-24,2.0,250
2020-08-25,3.0,205
2020-08-26,9.0,312
2020-08-27,1.0,352
2020-08-28,3.0,342
2020-08-29,1.0,343
2020-08-30,0.0,250
2020-08-31,4.0,194
2020-09-01,2.0,229
2020-09-02,2.0,333
2020-09-03,0.0,353
2020-09-04,3.0,456
2020-09-05,4.0,446
2020-09-06,1.0,363
2020-09-07,0.0,229
2020-09-08,3.0,218
2020-09-09,5.0,272
2020-09-10,1.0,398
2020-09-11,3.0,414
2020-09-12,4.0,362
2020-09-13,1.0,379
2020-09-14,2.0,213
2020-09-15,3.0,301
2020-09-16,5.0,338
2020-09-17,1.0,373
2020-09-18,3.0,426
2020-09-19,8.0,400
2020-09-20,6.0,385
2020-09-21,1.0,254
2020-09-22,4.0,222
2020-09-23,3.0,367
2020-09-24,3.0,418
2020-09-25,5.0,430
2020-09-26,1.0,449
2020-09-27,4.0,347
2020-09-28,1.0,315
2020-09-29,3.0,286
2020-09-30,1.0,338
2020-10-01,5.0,682
2020-10-02,8.0,480
2020-10-03,5.0,580
2020-10-04,2.0,556
2020-10-05,1.0,484
2020-10-06,9.0,469
2020-10-07,3.0,727
2020-10-08,7.0,913
2020-10-09,4.0,1141
2020-10-10,10.0,1212
2020-10-11,5.0,1042
2020-10-12,3.0,771
2020-10-13,11.0,926
2020-10-14,6.0,1331
2020-10-15,16.0,1349
2020-10-16,10.0,1652
2020-10-17,9.0,1819
2020-10-18,17.0,1700
2020-10-19,7.0,1308
2020-10-20,21.0,1431
2020-10-21,26.0,2649
2020-10-22,29.0,2834
2020-10-23,18.0,3254
2020-10-24,23.0,3760
2020-10-25,19.0,3437
2020-10-26,13.0,3043
2020-10-27,30.0,3679
2020-10-28,38.0,4142
2020-10-29,34.0,4593
2020-10-30,39.0,5852
2020-10-31,40.0,6406
2020-11-01,40.0,5205
2020-11-02,38.0,4038
2020-11-03,66.0,5183
2020-11-04,41.0,5104
2020-11-05,67.0,7072
2020-11-06,88.0,6766
2020-11-07,73.0,7720
2020-11-08,55.0,7189
2020-11-09,44.0,5408
2020-11-10,100.0,6293
2020-11-11,107.0,6721
2020-11-12,110.0,7751
2020-11-13,106.0,7842
2020-11-14,121.0,7669
2020-11-15,104.0,7118
2020-11-16,85.0,5694
2020-11-17,170.0,6413
2020-11-18,134.0,6956
2020-11-19,121.0,8072
2020-11-20,156.0,7989
2020-11-21,169.0,8093
2020-11-22,90.0,6990
2020-11-23,110.0,5617
2020-11-24,206.0,5552
2020-11-25,161.0,6006
2020-11-26,173.0,7540
2020-11-27,180.0,7086
2020-11-28,187.0,7815
2020-11-29,98.0,5849
2020-11-30,108.0,4978
2020-12-01,195.0,4992
2020-12-02,175.0,5758
2020-12-03,257.0,6732
2020-12-04,199.0,7431
2020-12-05,203.0,6818
2020-12-06,160.0,6398
2020-12-07,153.0,5120
2020-12-08,215.0,5655
2020-12-09,134.0,4553
2020-12-10,279.0,6783
2020-12-11,219.0,6349
2020-12-12,236.0,8261
2020-12-13,99.0,7013
2020-12-14,138.0,4987
2020-12-15,313.0,5852
2020-12-16,219.0,6363
2020-12-17,215.0,7526
2020-12-18,235.0,7129
2020-12-19,208.0,6827
2020-12-20,139.0,6632
2020-12-21,114.0,4523
2020-12-22,270.0,5031
2020-12-23,220.0,5286
2020-12-24,217.0,6740
2020-12-25,191.0,8057
2020-12-26,84.0,4651
2020-12-27,143.0,4907
2020-12-28,141.0,3938
2020-12-29,321.0,4308
2020-12-30,205.0,5633
2020-12-31,216.0,8373
2021-01-01,200.0,8612
2021-01-02,112.0,5761
2021-01-03,157.0,5663
2021-01-04,148.0,3793
2021-01-05,290.0,5721
2021-01-06,229.0,6343
2021-01-07,142.0,6928
2021-01-08,224.0,6290
2021-01-09,182.0,6427
2021-01-10,131.0,5609
2021-01-11,141.0,4212
2021-01-12,253.0,4677
2021-01-13,201.0,4052
2021-01-14,208.0,4842
2021-01-15,186.0,4683
2021-01-16,168.0,5155
2021-01-17,115.0,3634
2021-01-18,135.0,2525
2021-01-19,269.0,3024
2021-01-20,166.0,3840
2021-01-21,221.0,3710
2021-01-22,145.0,3686
2021-01-23,158.0,3764
2021-01-24,112.0,3212
2021-01-25,149.0,2110
2021-01-26,216.0,2876
2021-01-27,129.0,4682
2021-01-28,133.0,3248
2021-01-29,139.0,3759
2021-01-30,110.0,3391
2021-01-31,52.0,2774
2021-02-01,99.0,2059
2021-02-02,181.0,2569
