Date,daily_Deaths,daily_Confirmed
2020-02-24,,169
2020-02-25,3.0,69
2020-02-26,0.0,28
2020-02-27,5.0,152
2020-02-28,3.0,137
2020-02-29,6.0,107
2020-03-01,1.0,390
2020-03-02,14.0,269
2020-03-03,18.0,273
2020-03-04,18.0,328
2020-03-05,29.0,461
2020-03-06,39.0,405
2020-03-07,21.0,892
2020-03-08,115.0,950
2020-03-09,75.0,1307
2020-03-10,140.0,459
2020-03-11,154.0,1593
2020-03-12,135.0,1611
2020-03-13,172.0,1427
2020-03-14,99.0,2030
2020-03-15,280.0,1936
2020-03-16,250.0,1938
2020-03-17,252.0,2094
2020-03-18,354.0,2075
2020-03-19,251.0,2984
2020-03-20,444.0,3120
2020-03-21,609.0,3806
2020-03-22,426.0,2639
2020-03-23,396.0,2284
2020-03-24,487.0,2795
2020-03-25,399.0,2342
2020-03-26,417.0,3322
2020-03-27,721.0,3140
2020-03-28,621.0,2881
2020-03-29,504.0,2454
2020-03-30,550.0,1801
2020-03-31,523.0,1879
2020-04-01,461.0,2306
2020-04-02,496.0,2009
2020-04-03,449.0,2232
2020-04-04,465.0,2678
2020-04-05,312.0,2270
2020-04-06,424.0,1764
2020-04-07,379.0,1448
2020-04-08,333.0,1793
2020-04-09,407.0,2159
2020-04-10,323.0,1918
2020-04-11,399.0,2748
2020-04-12,226.0,2249
2020-04-13,391.0,1844
2020-04-14,378.0,1800
2020-04-15,340.0,1505
2020-04-16,332.0,1936
2020-04-17,359.0,1907
2020-04-18,312.0,2100
2020-04-19,274.0,1690
2020-04-20,272.0,1168
2020-04-21,311.0,1666
2020-04-22,268.0,2101
2020-04-23,296.0,1606
2020-04-24,266.0,1901
2020-04-25,249.0,1445
2020-04-26,134.0,1507
2020-04-27,195.0,1027
2020-04-28,199.0,1359
2020-04-29,184.0,1319
2020-04-30,171.0,1134
2020-05-01,136.0,1270
2020-05-02,369.0,1217
2020-05-03,83.0,830
2020-05-04,110.0,823
2020-05-05,136.0,715
2020-05-06,264.0,1008
2020-05-07,180.0,1014
2020-05-08,128.0,946
2020-05-09,122.0,699
2020-05-10,103.0,453
2020-05-11,113.0,520
2020-05-12,99.0,1179
2020-05-13,115.0,633
2020-05-14,159.0,741
2020-05-15,187.0,507
2020-05-16,86.0,588
2020-05-17,97.0,438
2020-05-18,56.0,280
2020-05-19,110.0,637
2020-05-20,114.0,484
2020-05-21,100.0,477
2020-05-22,82.0,426
2020-05-23,77.0,539
2020-05-24,17.0,382
2020-05-25,55.0,214
2020-05-26,42.0,300
2020-05-27,81.0,496
2020-05-28,37.0,457
2020-05-29,58.0,424
2020-05-30,81.0,336
2020-05-31,48.0,277
2020-06-01,30.0,130
2020-06-02,21.0,259
2020-06-03,48.0,273
2020-06-04,47.0,129
2020-06-05,45.0,465
2020-06-06,41.0,195
2020-06-07,35.0,150
2020-06-08,51.0,222
2020-06-09,26.0,221
2020-06-10,51.0,145
2020-06-11,38.0,304
