year_week,work_red
2020-07,
2020-08,0.9888285714285715
2020-09,0.8155428571428571
2020-10,0.7932142857142858
2020-11,0.32527142857142854
2020-12,0.13419999999999996
2020-13,0.09534285714285717
2020-14,0.10797142857142854
2020-15,0.11957142857142854
2020-16,0.1226142857142857
2020-17,0.1600857142857143
2020-18,0.11541428571428576
2020-19,0.2870142857142857
2020-20,0.33147142857142864
2020-21,0.4133428571428571
2020-22,0.44699999999999995
2020-23,0.40519999999999995
2020-24,0.5061428571428571
2020-25,0.5349999999999999
2020-26,0.5370999999999999
2020-27,0.5561428571428572
2020-28,0.5604285714285714
2020-29,0.5521428571428572
2020-30,0.5733142857142857
2020-31,0.5498428571428571
2020-32,0.5143428571428572
2020-33,0.3591142857142858
2020-34,0.34827142857142857
2020-35,0.4781142857142856
2020-36,0.5455285714285714
2020-37,0.5583285714285715
2020-38,0.6084857142857143
2020-39,0.6174000000000002
2020-40,0.6748428571428572
2020-41,0.7057142857142857
2020-42,0.7129285714285715
2020-43,0.7176999999999999
2020-44,0.5863714285714285
2020-45,0.5312571428571428
2020-46,0.5021714285714285
2020-47,0.4940285714285713
2020-48,0.508242857142857
2020-49,0.5499
2020-50,0.47391428571428573
2020-51,0.5819714285714286
2020-52,0.2901142857142857
2020-53,0.22254285714285715
2021-01,0.3919142857142857
2021-02,0.4307285714285714
2021-03,0.38451428571428575
2021-04,0.41515714285714284
2021-05,0.4961857142857142
2021-06,0.5413285714285715
2021-07,0.5628142857142856
2021-08,0.6039714285714286
2021-09,0.6040000000000001
2021-10,0.6241000000000002
2021-11,0.6106428571428572
2021-12,0.6129428571428573
2021-13,0.5287000000000001
2021-14,0.49300000000000005
2021-15,0.5711571428571428
2021-16,0.5841857142857142
2021-17,0.6470428571428573
2021-18,0.7008857142857142
2021-19,0.7128714285714285
2021-20,0.7594
2021-21,0.7719571428571428
2021-22,0.6363857142857142
2021-23,0.6595714285714287
2021-24,0.5952285714285714
2021-25,0.5689714285714286
2021-26,0.5711285714285714
2021-27,0.5863714285714285
2021-28,0.5776
